Time,X,Y,Vx,Vy,Ax,Ay
1.78,4.959625,-0.1984935,3.982933,-0.3691153,0.1137137,1.188339
1.8,5.039284,-0.2097998,3.990207,-0.2797303,0.3636956,4.469252
1.82,5.119088,-0.2193184,3.992296,-0.248146,0.1044273,1.579215
1.84,5.198934,-0.2282053,3.996967,-0.1557349,0.2335787,4.620553
1.86,5.278873,-0.235244,3.999612,-0.05573544,0.1322269,4.999974
1.88,5.358865,-0.2402827,3.999817,-0.03826578,0.01026392,0.8734826
1.9,5.438861,-0.2449721,3.999999,-0.002584949,0.009119511,1.784042
1.92,5.518861,-0.2489478,3.999876,0.03158207,-0.006186962,1.708351
1.94,5.598859,-0.2522401,3.999733,0.04620615,-0.007128716,0.7312041
1.96,5.678854,-0.25524,3.999542,0.06050429,-0.009524822,0.7149069
1.98,5.758844,-0.2579539,3.999313,0.07415928,-0.01149178,0.6827496
2,5.83883,-0.2603947,3.999027,0.08822042,-0.01429319,0.7030573
2.02,5.918811,-0.2625543,3.998731,0.1007503,-0.01478195,0.6264951
2.04,5.998785,-0.2644633,3.99887,0.09506161,0.006961823,-0.284436
2.06,6.078763,-0.2664861,3.998971,0.09071456,0.005042553,-0.2173524
2.08,6.158742,-0.2685958,3.998673,0.1030398,-0.014925,0.6162629
2.1,6.238716,-0.270459,3.998787,0.09851936,0.005698204,-0.226023
2.12,6.318691,-0.2724126,3.998431,0.112032,-0.01779795,0.6756321
2.14,6.39866,-0.274096,3.998072,0.1241895,-0.01795292,0.6078739
2.16,6.478621,-0.2755361,3.997084,0.1527109,-0.04938841,1.426069
2.18,6.558563,-0.2764059,3.995128,0.1973577,-0.09778738,2.232342
2.2,6.638465,-0.2763828,3.989585,0.2884658,-0.2771735,4.555404
2.22,6.718257,-0.2745374,3.977742,0.421388,-0.5921364,6.646112
2.24,6.797812,-0.2700337,3.973948,0.4557806,-0.1896977,1.71963
2.26,6.877291,-0.2648421,3.969732,0.4911481,-0.2107859,1.768376
2.28,6.956686,-0.2589431,3.969305,0.4945908,-0.02137423,0.1721337
2.3,7.036072,-0.2529753,3.968569,0.500461,-0.03679991,0.2935097
2.32,7.115443,-0.2468901,3.969737,0.4911074,0.05842447,-0.4676774
2.34,7.194838,-0.2409919,3.970791,0.4825131,0.05269051,-0.4297152
2.36,7.274254,-0.2352657,3.971742,0.4746173,0.04756451,-0.3947914
2.38,7.353689,-0.2296973,3.972603,0.4673639,0.04301071,-0.3626704
2.4,7.433141,-0.224274,3.973381,0.4607013,0.03890991,-0.3331318
2.42,7.512609,-0.218984,3.974086,0.4545817,0.03523827,-0.305979
2.44,7.59209,-0.2138164,3.974725,0.4489613,0.03194809,-0.2810195
2.46,7.671585,-0.2087612,3.975304,0.4437997,0.02896786,-0.2580777
2.48,7.751091,-0.2038092,3.97583,0.4390599,0.02630949,-0.2369896
2.5,7.830607,-0.198952,3.976309,0.4347078,0.0239253,-0.2176076
2.52,7.910133,-0.1941818,3.976743,0.4307115,0.02173185,-0.1998127
2.54,7.989668,-0.1894916,3.977139,0.4270423,0.01978874,-0.1834601
2.56,8.069211,-0.1848747,3.977499,0.4236738,0.01801252,-0.1684278
2.58,8.148761,-0.1803253,3.974574,0.4502951,-0.1462817,1.331064
2.6,8.228252,-0.1752433,3.967959,0.5052689,-0.3307104,2.748694
2.62,8.307611,-0.169062,3.928829,0.7511985,-1.956499,12.29648
2.64,8.386189,-0.157962,3.878678,0.9776815,-2.507591,11.32415
2.66,8.463762,-0.1423324,3.846211,1.098482,-1.623344,6.040049
2.68,8.540687,-0.1242867,3.797337,1.257071,-2.443671,7.929451
2.7,8.616633,-0.1030693,3.763302,1.355565,-1.70176,4.924691
2.72,8.691899,-0.079882,3.750031,1.391856,-0.6635308,1.814556
2.74,8.7669,-0.05596887,3.724727,1.458221,-1.26524,3.318244
2.76,8.841394,-0.03072844,3.708579,1.498813,-0.8073688,2.029562
2.78,8.915566,-0.004676191,3.702116,1.514707,-0.3231764,0.7947385
2.8,8.989609,0.02169395,3.685635,1.554379,-0.8240223,1.983559
2.82,9.063321,0.04885752,3.641857,1.65435,-2.188897,4.998595
2.84,9.136158,0.07802053,3.603085,1.737175,-1.938629,4.141247
2.86,9.20822,0.10884,3.504442,1.928441,-4.932117,9.563279
2.88,9.278308,0.1434848,3.383814,2.133028,-6.031442,10.22933
2.9,9.345984,0.1822214,3.233932,2.354077,-7.494056,11.05249
2.92,9.410663,0.2253789,3.099562,2.528381,-6.718504,8.7152
2.94,9.472654,0.2720226,2.861527,2.794935,-11.90178,13.32771
2.96,9.529885,0.3239973,2.576783,3.059442,-14.23717,13.22533
2.98,9.581421,0.3812621,2.337553,3.245896,-11.96151,9.322715
3,9.628172,0.4422561,1.997804,3.465369,-16.98749,10.97362
3.02,9.668128,0.5076394,1.86726,3.53742,-6.527204,3.602576
3.04,9.705473,0.5744638,1.514649,3.70214,-17.63053,8.235979
3.06,9.735765,0.6445826,1.174594,3.823654,-17.00273,6.075704
3.08,9.759257,0.7171317,0.937382,3.888613,-11.86062,3.247964
3.1,9.778005,0.79098,0.6835214,3.941167,-12.69303,2.627695
3.12,9.791675,0.8658793,0.4731048,3.971923,-10.52083,1.537788
3.14,9.801137,0.9413937,0.2206715,3.993908,-12.62167,1.099265
3.16,9.805551,1.017348,-0.127344,3.997972,-17.40077,0.2032161
3.18,9.803003,1.093383,-0.3805998,3.981852,-12.66279,-0.8060336
3.2,9.795391,1.169096,-0.5498689,3.962025,-8.463459,-0.9913325
3.22,9.784393,1.244413,-0.8275082,3.913468,-13.88196,-2.427864
3.24,9.767843,1.318758,-1.055829,3.858138,-11.41604,-2.766514
3.26,9.746727,1.391997,-1.241896,3.802328,-9.303337,-2.790499
3.28,9.721889,1.46412,-1.317629,3.776752,-3.786689,-1.278806
3.3,9.72196,1.52546,-1.414114,3.741695,-4.824233,-1.752818
3.32,9.722875,1.58534,-1.42823,3.73633,-0.7057965,-0.2682805
3.34,9.721511,1.646754,-1.492037,3.711311,-3.190327,-1.250935
3.36,9.720618,1.707214,-1.557034,3.684514,-3.249872,-1.339841
3.38,9.702884,1.775287,-1.557071,3.684499,-0.001847744,-0.0007748604
3.4,9.685149,1.843359,-1.559898,3.683302,-0.1413643,-0.0598073
3.42,9.653952,1.913101,-1.581356,3.674141,-1.072872,-0.4580498
3.44,9.622325,1.98266,-1.556363,3.684798,1.249623,0.5328059
3.46,9.591198,2.052432,-1.601389,3.665454,-2.251303,-0.9671807
3.48,9.55917,2.121817,-1.671325,3.634099,-3.49679,-1.567757
3.5,9.525743,2.190575,-1.709565,3.616267,-1.911998,-0.8915782
3.52,9.491552,2.258976,-1.773496,3.585347,-3.196532,-1.546013
3.54,9.456082,2.326759,-1.844862,3.549153,-3.568304,-1.809704
3.56,9.419185,2.393818,-1.869995,3.535975,-1.256686,-0.6589174
3.58,9.381784,2.460614,-1.957321,3.488394,-4.366291,-2.379012
3.6,9.342638,2.526458,-2.064966,3.425772,-5.382246,-3.131115
3.62,9.301339,2.591049,-2.11824,3.39309,-2.663684,-1.634085
3.64,9.258974,2.654987,-2.211782,3.33287,-4.677129,-3.011036
3.66,9.214739,2.717721,-2.28417,3.283682,-3.619361,-2.459371
3.68,9.169055,2.77947,-2.345837,3.239915,-3.083372,-2.188361
3.7,9.122138,2.840344,-2.438806,3.170525,-4.648423,-3.469515
3.72,9.073362,2.899831,-2.560072,3.07344,-6.063306,-4.854238
3.74,9.022161,2.957376,-2.659968,2.987402,-4.99481,-4.301894
3.76,8.968961,3.0132,-2.853185,2.80345,-9.660876,-9.197593
3.78,8.911897,3.065345,-3.212812,2.382822,-17.98133,-21.03143
3.8,8.84764,3.109077,-3.3604,2.169726,-7.379413,-10.65477
3.82,8.793472,3.111164,-3.62704,1.686589,-13.33197,-24.15684
3.84,8.720931,3.140972,-3.880669,0.969745,-12.68148,-35.84222
3.86,8.643317,3.156443,-3.981209,0.3872701,-5.02696,-29.12374
3.88,8.563693,3.160264,-3.989337,-0.2918724,-0.4064202,-33.95713
3.9,8.483907,3.150503,-3.884269,-0.9552251,5.25341,-33.16763
3.92,8.406221,3.127474,-3.78967,-1.28,4.729939,-16.23876
3.94,8.330428,3.09795,-3.534435,-1.872905,12.76177,-29.64525
3.96,8.25974,3.056568,-3.267321,-2.307512,13.35568,-21.73036
3.98,8.194393,3.006494,-3.084044,-2.547287,9.163821,-11.98872
4,8.132712,2.951624,-2.818699,-2.838122,13.26727,-14.54175
4.02,8.076339,2.890938,-2.551473,-3.080582,13.36132,-12.12302
4.04,8.02531,2.825402,-2.388521,-3.208577,8.147597,-6.399751
4.06,7.977539,2.757307,-2.075469,-3.419419,15.65256,-10.54208
4.08,7.936029,2.684994,-1.987,-3.471575,4.423493,-2.60781
4.1,7.896289,2.611639,-1.687995,-3.626386,14.95025,-7.740533
4.12,7.862529,2.535187,-1.493077,-3.710892,9.745872,-4.225326
4.14,7.815308,2.492315,-1.39183,-3.750041,5.062372,-1.957452
4.16,7.769117,2.450739,-1.351496,-3.764765,2.016693,-0.7362008
4.18,7.725071,2.408008,-1.323073,-3.774848,1.421165,-0.504148
4.2,7.681444,2.365525,-1.333398,-3.771213,-0.5162656,0.1817465
